publication_title	print_identifier	online_identifier	publisher_name	title_url	date_monograph_published_online	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publication_type	date_monograph_published_print	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Philosophia Scientiæ	1281-2463	1775-4283	Editions Kimé	http://www.cairn.info/revue-philosophia-scientiae.htm			1			3			SCIE											
Sciences du Design	2428-3711	2428-3614	Presses Universitaires de France	http://www.cairn.info/revue-sciences-du-design.htm			1			4			SDD											
Sens-Dessous	1951-0519	2430-2880	Edition de l'Association Paroles	http://www.cairn.info/revue-sens-dessous.htm			0			18			SDES											
Société, droit et religion	2110-6657	2272-9054	C.N.R.S. Editions	http://www.cairn.info/revue-societe-droit-et-religion.htm			1			4			SDR											
Sécurité globale	1959-6782	2271-2194	ESKA	http://www.cairn.info/revue-securite-globale.htm			3			7			SECUG											
Sécurité et stratégie	2101-4736	2428-3622	Club des Directeurs de Sécurité des Entreprises	http://www.cairn.info/revue-securite-et-strategie.htm			1			21			SESTR											
Sciences Eaux et Territoires	2109-3016	1775-3783	Irstea	http://www.cairn.info/revue-sciences-eaux-et-territoires.htm			1			20			SET											
Les Tribunes de la santé	1765-8888	2105-2182	Presses de Sciences Po (P.F.N.S.P.)	http://www.cairn.info/revue-les-tribunes-de-la-sante.htm			1			52			SEVE											
Systèmes d'information et management	1260-4984	2271-7188	ESKA	http://www.cairn.info/revue-systemes-d-information-et-management.htm			13			21			SIM											
Movement et Sport Sciences	2118-5735	2118-5743	EDP Sciences	http://www.cairn.info/revue-movement-and-sport-sciences.htm			45			94			SM											
Sud/Nord	1265-2067	1776-288X	ERES	http://www.cairn.info/revue-sud-nord.htm			14			26			SN											
Sociologie de l'Art	0779-1674	2264-5209	L'Harmattan	http://www.cairn.info/revue-sociologie-de-l-art.htm			2			26			SOART											
Sociétés	0765-3697	1782-155X	De Boeck Supérieur	http://www.cairn.info/revue-societes.htm			71			132			SOC											
Sociologie	2108-8845	2108-6915	Presses Universitaires de France	http://www.cairn.info/revue-sociologie.htm			1			7			SOCIO											
Sociétés contemporaines	1150-1944	1950-6899	Presses de Sciences Po (P.F.N.S.P.)	http://www.cairn.info/revue-societes-contemporaines.htm			42			103			SOCO											
Sociologies pratiques	1295-9278	2104-3787	Presses de Sciences Po (P.F.N.S.P.)	http://www.cairn.info/revue-sociologies-pratiques.htm			10			33			SOPR											
Spécificités	2256-7186	2426-6272	Champ social	http://www.cairn.info/revue-specificites.htm			1			8			SPEC											
Spirale	1278-4699	1951-6274	ERES	http://www.cairn.info/revue-spirale.htm			17			79			SPI											
Santé Publique	0995-3914	2104-3841	S.F.S.P.	http://www.cairn.info/revue-sante-publique.htm			13			28			SPUB											
Sociétés et Représentations	1262-2966	2104-404X	Publications de la Sorbonne	http://www.cairn.info/revue-societes-et-representations.htm			10			42			SR											
Syntaxe et sémantique	1623-6742	2271-2852	Presses universitaires de Caen	http://www.cairn.info/revue-syntaxe-et-semantique.htm			1			17			SS											
Sciences sociales et santé	0294-0337	1777-5914	John Libbey Eurotext	http://www.cairn.info/revue-sciences-sociales-et-sante.htm			24			34			SSS											
Staps	0247-106X	1782-1568	De Boeck Supérieur	http://www.cairn.info/revue-staps.htm			54			113			STA											
Stratégique	0224-0424	2430-2961	Institut de Stratégie Comparée	http://www.cairn.info/revue-strategique.htm			85			112			STRAT											
Techniques et Culture	0248-6016	1952-420X	Éditions de l'EHESS	http://www.cairn.info/revue-techniques-et-culture.htm			60			64			TC1											
Le Temps des médias	1764-2507	2104-3671	Nouveau Monde éditions	http://www.cairn.info/revue-le-temps-des-medias.htm			1			26			TDM											
Travail et emploi	0224-4365	1775-416X	DARES	http://www.cairn.info/revue-travail-et-emploi.htm			133			145			TE											
Le Télémaque	1263-588X	2118-2191	Presses universitaires de Caen	http://www.cairn.info/revue-le-telemaque.htm			19			49			TELE											
Télévision	2108-8926	2426-6264	C.N.R.S. Editions	http://www.cairn.info/revue-television.htm			1			6			TELEV											
Thérapie Familiale	0250-4952	2235-2112	Médecine & Hygiène	http://www.cairn.info/revue-therapie-familiale.htm			22			37			TF											
Techniques Financières et Développement	1250-4165	2494-0739	Épargne sans frontière	http://www.cairn.info/revue-techniques-financieres-et-developpement.htm			110			124			TFD											
Travail, genre et sociétés	1294-6303	2105-2174	La Découverte	http://www.cairn.info/revue-travail-genre-et-societes.htm			1			36			TGS											
Le travail humain	1243-1370	2428-0690	Presses Universitaires de France	http://www.cairn.info/revue-le-travail-humain.htm			64			79			TH											
Travaux de linguistique	0082-6049	1782-1576	De Boeck Supérieur	http://www.cairn.info/revue-travaux-de-linguistique.htm			43			71			TL											
Topique	0040-9375	1965-0604	L’Esprit du temps	http://www.cairn.info/revue-topique.htm			74			136			TOP											
Tracés	1763-0061	1963-1812	E.N.S. Editions	http://www.cairn.info/revue-traces.htm			24			31			TRAC											
Transversalités	1286-9449	2259-3799	Institut Catholique de Paris	http://www.cairn.info/revue-transversalites.htm			105			139			TRANS											
Travailler	1620-5340	2102-5150	Martin Média	http://www.cairn.info/revue-travailler.htm			5			34			TRAV											
Etudes Tsiganes	0014-2247	2426-6078	FNASAT	http://www.cairn.info/revue-etudes-tsiganes.htm			30			57			TSIG											
Terrains et travaux	1627-9506	2104-3779	ENS Cachan	http://www.cairn.info/revue-terrains-et-travaux.htm			1			29			TT											
Tous urbains	2265-9811	2496-431X	Presses Universitaires de France	http://www.cairn.info/revue-tous-urbains.htm			1			15			TU											
Tumultes	1243-549X	2118-2892	Editions Kimé	http://www.cairn.info/revue-tumultes.htm			16			47			TUMU											
Vacarme	1253-2479	2107-092X	Association Vacarme	http://www.cairn.info/revue-vacarme.htm			1			77			VACA											
Vraiment durable	2260-2895	2272-8481	Victoires éditions	http://www.cairn.info/revue-vraiment-durable.htm			1			6			VDUR											
Vertigo	0985-1402	2428-3568	Editions Lignes	http://www.cairn.info/revue-vertigo.htm			23			48			VER											
Vingtième Siècle. Revue d'histoire	0294-1759	1950-6678	Presses de Sciences Po (P.F.N.S.P.)	http://www.cairn.info/revue-vingtieme-siecle-revue-d-histoire.htm			69			132			VING											
Volume !	1634-5495	1950-568X	Editions Mélanie Seteun	http://www.cairn.info/revue-volume.htm			1			1			VOLU											
Vie et sciences de l'entreprise	2262-5321	2262-5372	ANDESE	http://www.cairn.info/revue-vie-et-sciences-de-l-entreprise.htm			169			200			VSE											
Vie sociale	0042-5605	2271-717X	ERES	http://www.cairn.info/revue-vie-sociale.htm			1			16			VSOC											
VST - Vie sociale et traitements	0396-8669	1776-2898	ERES	http://www.cairn.info/revue-vie-sociale-et-traitements.htm			69			132			VST											
