publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	subtype	subjects	frequency	aspp	iel	ibm	tup	biai	mitp	nokia_bell_labs	oa	csdl	stem10	stem25	stem45	smpteall	smptejnl	agu	
"Journal of the Society of Motion Picture Engineers"	0097-5834		1930	14	1	1949	53	6	https://ieeexplore.ieee.org/servlet/opac?punumber=7226733		7226733		fulltext		SMPTE	Serial							7229673	P	Journal	Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Engineering Profession; Fields, Waves and Electromagnetics; General Topics for Engineers; Photonics and Electrooptics; Robotics and Control Systems; Signal Processing and Analysis; Transportation	12													*	*		
"Law, Probability and Risk"	1470-8396	1470-840X	2002	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016809		8016809		fulltext		OUP	Serial								P	Journal	General Topics for Engineers	4																
"Linguistic Inquiry"	0024-3892		1998	29	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6720223		6720223		fulltext		MIT Press	Serial								P	Journal	Communication, Networking and Broadcast Technologies	4						*										
"Logic Journal of the IGPL"	1367-0751	1368-9894	1996	4	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016810		8016810		fulltext		OUP	Serial								P	Journal	General Topics for Engineers	6																
"Mathematical Medicine and Biology: A Journal of the IMA"	1477-8599	1477-8602	1996	13	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016811		8016811		fulltext		OUP	Serial								P	Journal	Bioengineering; General Topics for Engineers	4																
"Microscopy"	0022-0744	1477-9986	1996	45	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016812		8016812		fulltext		OUP	Serial								P	Journal	General Topics for Engineers	6																
"Monthly Notices of the Royal Astronomical Society"	0035-8711	1365-2966	1996	278	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016813		8016813		fulltext		OUP	Serial								P	Journal	General Topics for Engineers; Geoscience; Fields, Waves and Electromagnetics	36																
"Neural Computation"	0899-7667		1989	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6720226		6720226		fulltext		MIT Press	Serial								P	Journal	Bioengineering; Computing and Processing	12						*										
"Newsletter of the IRE Professional Group on Audio"	2168-3026	2168-3018	1950	1	1	1952	3	1	https://ieeexplore.ieee.org/servlet/opac?punumber=8462		8462		fulltext		IEEE	Serial								P	Journal	Signal Processing and Analysis; Communication, Networking and Broadcast Technologies	1		*														
"Philosophia Mathematica"	0031-8019	1744-6406	1996	4	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016814		8016814		fulltext		OUP	Serial								P	Journal	General Topics for Engineers	3																
"Power Engineer"	1479-8344		2003	17	1	2007	21	6	https://ieeexplore.ieee.org/servlet/opac?punumber=8455		8455		fulltext		IET	Serial							2224	P	Journal	Power, Energy and Industry Applications	6		*														
"Power Engineering Journal"	0950-3366		1987	1	1	2002	16	6	https://ieeexplore.ieee.org/servlet/opac?punumber=2224		2224		fulltext		IET	Serial							5176125	P	Journal	Power, Energy and Industry Applications	6		*														
"Presence"	1054-7460		1998	7	1				https://ieeexplore.ieee.org/servlet/opac?punumber=6720227		6720227		fulltext		MIT Press	Serial								P	Journal	Computing and Processing; Robotics and Control Systems	4						*										
"Proceedings of the American Institute of Electrical Engineers"	0097-2444	2376-7758	1905	24	1	1919	38	12	https://ieeexplore.ieee.org/servlet/opac?punumber=6530810		6530810		fulltext		IEEE	Serial								P	Journal	Fields, Waves and Electromagnetics; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems			*														
"Proceedings of the IEEE"	0018-9219	1558-2256	1963	51	1				https://ieeexplore.ieee.org/servlet/opac?punumber=5		5		fulltext		IEEE	Serial							10933	P	Journal	General Topics for Engineers; Engineering Profession; Aerospace; Bioengineering; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Fields, Waves and Electromagnetics; Geoscience; Nuclear Engineering; Robotics and Control Systems; Signal Processing and Analysis; Transportation; Power, Energy and Industry Applications; Communication, Networking and Broadcast Technologies; Photonics and Electrooptics	12		*									*	*				
"Proceedings of the Institute of Radio Engineers"	0731-5996	2162-6626	1913	1	1	1938	26	12	https://ieeexplore.ieee.org/servlet/opac?punumber=5547934		5547934		fulltext		IEEE	Serial								P	Journal	General Topics for Engineers; Engineering Profession; Communication, Networking and Broadcast Technologies; Signal Processing and Analysis; Photonics and Electrooptics	12		*														
"Proceedings of the IRE"	0096-8390	2162-6634	1939	27	1	1962	50	12	https://ieeexplore.ieee.org/servlet/opac?punumber=10933		10933		fulltext		IEEE	Serial							5547934	P	Journal	General Topics for Engineers; Engineering Profession; Aerospace; Bioengineering; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Fields, Waves and Electromagnetics; Geoscience; Nuclear Engineering; Robotics and Control Systems; Signal Processing and Analysis; Transportation; Communication, Networking and Broadcast Technologies; Power, Energy and Industry Applications; Photonics and Electrooptics	12		*														
"Publications of the Astronomical Society of Japan"	0004-6264	2053-051X	1996	48	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016815		8016815		fulltext		OUP	Serial								P	Journal	General Topics for Engineers	6																
"Quarterly Journal of Mathematics"	0033-5606	1464-3847	1996	47	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016816		8016816		fulltext		OUP	Serial								P	Journal	General Topics for Engineers	4																
"Quarterly Journal of Mechanics and Applied Mathematics"	0033-5614	1464-3855	1996	49	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016817		8016817		fulltext		OUP	Serial								P	Journal	General Topics for Engineers	4																
"Radio Science"		1944-799X	1966	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=7742793		7742793		fulltext		AGU	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Fields, Waves and Electromagnetics; Signal Processing and Analysis	12															*	
"SAIEE Africa Research Journal"	1991-1696		2009	100	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8475037		8475037		fulltext		SAIEE	Serial								F	Journal	Aerospace; Bioengineering; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Engineering Profession; Fields, Waves and Electromagnetics; General Topics for Engineers; Geoscience; Nuclear Engineering; Photonics and Electrooptics; Power, Energy and Industry Applications; Robotics and Control Systems; Signal Processing and Analysis; Transportation	4								*								
"SMPTE Journal"	0036-1682		1976	85	1	2002	111	6-7	https://ieeexplore.ieee.org/servlet/opac?punumber=7227860		7227860		fulltext		SMPTE	Serial							7225230	P	Journal	Communication, Networking and Broadcast Technologies; Aerospace; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Engineering Profession; Fields, Waves and Electromagnetics; General Topics for Engineers; Photonics and Electrooptics; Robotics and Control Systems; Signal Processing and Analysis; Transportation	12													*	*		
"SMPTE Journal 1955"	0898-0438		1955	64	1	1955	64	12	https://ieeexplore.ieee.org/servlet/opac?punumber=7254262		7254262		fulltext		SMPTE	Serial							7251107	P	Journal	Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Fields, Waves and Electromagnetics; Engineering Profession; General Topics for Engineers; Robotics and Control Systems; Signal Processing and Analysis; Transportation	12													*	*		
"SMPTE Motion Imaging Journal"	1545-0279	2160-2492	2002	111	10				https://ieeexplore.ieee.org/servlet/opac?punumber=7261654		7261654		fulltext		SMPTE	Serial							7227860	P	Journal	Aerospace; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Engineering Profession; Fields, Waves and Electromagnetics; General Topics for Engineers; Photonics and Electrooptics; Robotics and Control Systems; Signal Processing and Analysis; Transportation	8													*	*		
"Teaching Mathematics and Its Applications: International Journal of the IMA"	0268-3679	1471-6976	1996	15	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016818		8016818		fulltext		OUP	Serial								P	Journal	General Topics for Engineers	4																
"Technology and Society"	0194-3359	2379-5646	1977	5	17	1981	9	4	https://ieeexplore.ieee.org/servlet/opac?punumber=6457542		6457542		fulltext		IEEE	Serial							6457541	P	Journal	General Topics for Engineers; Engineering Profession	4		*														
"The Bell System Technical Journal"	0005-8580		1922	1	1	1983	62	10	https://ieeexplore.ieee.org/servlet/opac?punumber=6731005		6731005		fulltext		Nokia Bell Labs	Serial								P	Journal	Communication, Networking and Broadcast Technologies	1							*									
"The Computer Journal"	0010-4620	1460-2067	1997	40	1				https://ieeexplore.ieee.org/servlet/opac?punumber=8016794		8016794		fulltext		OUP	Serial								P	Journal	Computing and Processing	12																
"Transactions of the American Institute of Electrical Engineers"	0096-3860	2330-9431	1884	I	1	1951	70	2	https://ieeexplore.ieee.org/servlet/opac?punumber=4763772		4763772		fulltext		IEEE	Serial								P	Journal	Fields, Waves and Electromagnetics; Communication, Networking and Broadcast Technologies; Signal Processing and Analysis	2		*														
"Transactions of the American Institute of Electrical Engineers, Part I: Communication and Electronics"	0097-2452	2379-674X	1952	71	1	1963	81	6	https://ieeexplore.ieee.org/servlet/opac?punumber=6367273		6367273		fulltext		IEEE	Serial							4763772	P	Journal	Power, Energy and Industry Applications; Components, Circuits, Devices and Systems; Fields, Waves and Electromagnetics	5		*														
"Transactions of the American Institute of Electrical Engineers, Part II: Applications and Industry"	0097-2185	2379-6774	1952	71	1	1963	81	6	https://ieeexplore.ieee.org/servlet/opac?punumber=6366379		6366379		fulltext		IEEE	Serial							4763772	P	Journal	Power, Energy and Industry Applications; Signal Processing and Analysis; Fields, Waves and Electromagnetics; Components, Circuits, Devices and Systems	1		*														
"Transactions of the American Institute of Electrical Engineers. Part III: Power Apparatus and Systems"	0097-2460	2379-6766	1952	71	1	1962	81	3	https://ieeexplore.ieee.org/servlet/opac?punumber=4498434		4498434		fulltext		IEEE	Serial							4763772	P	Journal	Power, Energy and Industry Applications; Components, Circuits, Devices and Systems; Robotics and Control Systems	1		*														
"Transactions of the I.R.E. Professional Group on Electronic Computers"	2168-1740	2168-1759	1952	PGEC-1	1	1954	EC-3	4	https://ieeexplore.ieee.org/servlet/opac?punumber=5407679		5407679		fulltext		IEEE	Serial								P	Journal	Computing and Processing	4		*														
"Transactions of the Institute of Radio Engineers Professional Group on Nuclear Science"	0277-6278	2374-9822	1954	NS-1	1	1954	NS-1	1	https://ieeexplore.ieee.org/servlet/opac?punumber=6449343		6449343		fulltext		IEEE	Serial								P	Journal	Nuclear Engineering; Power, Energy and Industry Applications	1		*														
"Transactions of the IRE Professional Group on Aeronautical and Navigational Electronics"	2168-0167	2168-0175	1953	PGAE-10		1954	ANE-1	4	https://ieeexplore.ieee.org/servlet/opac?punumber=5062323		5062323		fulltext		IEEE	Serial							5062335	P	Journal	Aerospace; Transportation; Components, Circuits, Devices and Systems; Fields, Waves and Electromagnetics	4		*														
"Transactions of the IRE Professional Group on Airborne Electronics"	2168-0213	2168-0221	1951	PGAE-1		1952	PGAE-6		https://ieeexplore.ieee.org/servlet/opac?punumber=5062335		5062335		fulltext		IEEE	Serial								P	Journal	Aerospace; Transportation; Components, Circuits, Devices and Systems; Fields, Waves and Electromagnetics	1		*														
"Transactions of the IRE Professional Group on Antennas and Propagation"	2168-0639	2168-0647	1952	1	1	1955	3	1	https://ieeexplore.ieee.org/servlet/opac?punumber=8236		8236		fulltext		IEEE	Serial								P	Journal	Fields, Waves and Electromagnetics	4		*														
"Transactions of the IRE Professional Group on Audio"		2168-2968	1953	AU-1	1	1955	AU-3	1	https://ieeexplore.ieee.org/servlet/opac?punumber=8340		8340		fulltext		IEEE	Serial							8462	P	Journal	Signal Processing and Analysis; Aerospace; Transportation; Components, Circuits, Devices and Systems; Fields, Waves and Electromagnetics	6		*														
"Transactions of the IRE Professional Group on Broadcast and Television Receivers"	2168-1619	2168-1627	1952	PGBTR-1	1	1954	PGBTR-8	1	https://ieeexplore.ieee.org/servlet/opac?punumber=4505045		4505045		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Signal Processing and Analysis	4		*														
"Transactions of the IRE Professional Group on Circuit Theory"	0197-6389	2331-3870	1952	PGCT-1		1954	CT-1	4	https://ieeexplore.ieee.org/servlet/opac?punumber=4811122		4811122		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems	3		*														
"Transactions of the IRE Professional Group on Communications Systems"	0277-6243	2162-2140	1953	1	1	1955	3	1	https://ieeexplore.ieee.org/servlet/opac?punumber=8161		8161		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Signal Processing and Analysis	1		*														
"Transactions of the IRE Professional Group on Component Parts"	2168-1686	2168-1694	1954	1	1	1954	2	1	https://ieeexplore.ieee.org/servlet/opac?punumber=8219		8219		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems	1		*														
"Transactions of the IRE Professional Group on Electron Devices"	0197-6370	2379-8653	1952	PGED-1	1	1954	ED-1	3	https://ieeexplore.ieee.org/servlet/opac?punumber=4639141		4639141		fulltext		IEEE	Serial								P	Journal	Components, Circuits, Devices and Systems; Engineered Materials, Dielectrics and Plasmas	4		*														
"Transactions of the IRE Professional Group on Engineering Management"	0276-1165	2331-396X	1954	PGEM-1		1954	PGEM-2		https://ieeexplore.ieee.org/servlet/opac?punumber=5010148		5010148		fulltext		IEEE	Serial								P	Journal	Engineering Profession; General Topics for Engineers	2		*														
"Transactions of the IRE Professional Group on Industrial Electronics"	0273-1959	2379-867X	1953	1	1	1953	1	1	https://ieeexplore.ieee.org/servlet/opac?punumber=4319302		4319302		fulltext		IEEE	Serial								P	Journal	Power, Energy and Industry Applications; Components, Circuits, Devices and Systems	1		*														
"Transactions of the IRE Professional Group on Information Theory"	2168-2690	2168-2704	1953	1	1	1954	4	4	https://ieeexplore.ieee.org/servlet/opac?punumber=4547596		4547596		fulltext		IEEE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Signal Processing and Analysis; Computing and Processing; General Topics for Engineers	2		*														
"Transactions of the IRE Professional Group on Instrumentation"	2168-1880	2168-1899	1952	PGI-1		1954	PGI-3		https://ieeexplore.ieee.org/servlet/opac?punumber=5007309		5007309		fulltext		IEEE	Serial								P	Journal	Power, Energy and Industry Applications; Components, Circuits, Devices and Systems	1		*														
"Transactions of the IRE Professional Group on Medical Electronics"	2168-071X	2168-0728	1953	PGME-1		1953	PGME-1		https://ieeexplore.ieee.org/servlet/opac?punumber=5008468		5008468		fulltext		IEEE	Serial								P	Journal	Bioengineering; Communication, Networking and Broadcast Technologies; Signal Processing and Analysis; Computing and Processing	1		*														
"Transactions of the IRE Professional Group on Microwave Theory and Techniques"	0276-1173	2331-1614	1953	1	1	1955	3	1	https://ieeexplore.ieee.org/servlet/opac?punumber=4547925		4547925		fulltext		IEEE	Serial								P	Journal	Fields, Waves and Electromagnetics	1		*														
"Transactions of the IRE Professional Group on Quality Control"	2168-2755	2168-2763	1952	PGQC-1		1954	PGQC-3		https://ieeexplore.ieee.org/servlet/opac?punumber=5007101		5007101		fulltext		IEEE	Serial								P	Journal	Signal Processing and Analysis; Aerospace; Transportation; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Fields, Waves and Electromagnetics	1		*														
"Transactions of the IRE Professional Group on Radio Telemetry and Remote Control"	2168-0329	2168-0337	1954	PGRTRC-1		1954	PGRTRC-2		https://ieeexplore.ieee.org/servlet/opac?punumber=4335619		4335619		fulltext		IEEE	Serial							5062323	P	Journal	Aerospace; Transportation; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Fields, Waves and Electromagnetics	1		*														
"Transactions of the IRE Professional Group on Reliability and Quality Control"	2168-2771	2168-2798	1954	PGQC-4		1954	PGQC-4		https://ieeexplore.ieee.org/servlet/opac?punumber=5007112		5007112		fulltext		IEEE	Serial							5007101	P	Journal	Signal Processing and Analysis; Power, Energy and Industry Applications	1		*														
"Transactions of the IRE Professional Group on Ultrasonic Engineering"	0277-626X	2162-0679	1954	PGUE-1		1954	PGUE-2		https://ieeexplore.ieee.org/servlet/opac?punumber=10323		10323		fulltext		IEEE	Serial								P	Journal	Fields, Waves and Electromagnetics	1		*														
"Transactions of the IRE Professional Group on Vehicular Communications"	2150-1394	2151-6243	1952	PGVC-1		1954	PGVC-4		https://ieeexplore.ieee.org/servlet/opac?punumber=10783		10783		fulltext		IEEE	Serial								P	Journal	Transportation; Aerospace; Communication, Networking and Broadcast Technologies; Computing and Processing; Robotics and Control Systems; Components, Circuits, Devices and Systems	1		*														
"Transactions of the Society of Motion Picture Engineers"	0096-6460		1916	1	2	1929	13	38	https://ieeexplore.ieee.org/servlet/opac?punumber=7229673		7229673		fulltext		SMPTE	Serial								P	Journal	Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Fields, Waves and Electromagnetics; General Topics for Engineers; Robotics and Control Systems; Signal Processing and Analysis; Transportation; Engineering Profession	2													*	*		
"Tsinghua Science and Technology"		1007-0214	1996	1	1				https://ieeexplore.ieee.org/servlet/opac?punumber=5971803		5971803		fulltext		TUP	Serial								F	Journal	Computing and Processing	6				*				*								
"URSI Radio Science Bulletin"	1024-4530		2002	2002	302				https://ieeexplore.ieee.org/servlet/opac?punumber=7873543		7873543		fulltext		URSI	Serial								F	Journal	Aerospace; Communication, Networking and Broadcast Technologies; Fields, Waves and Electromagnetics; Geoscience	4								*								
